John Doe, 12, 24
Jane Doe, 06, 25
Peter Cox, 12, 14
Some Guy, 01, 03
Jason Newsted, 10, 12
Joe Hayes,9,6
Kimberly Scott,9,24
Jack Griffin,5,16
Philip Little,7,8
Angela Schmidt,6,24
Norma Moore,11,14
Susan Ellis,6,16
Lori Murphy,4,12
Sean Harris,1,27
Margaret Diaz,7,18
William Allen,2,10
Russell Roberts,1,1
Norma Vasquez,10,3
Victor Little,2,17
Jessica James,1,14
Justin Wallace,9,28
Brenda Hall,5,18
Ann Holmes,4,10
Diana Arnold,4,8
Bobby Schmidt,12,25
Sandra Dean,7,12
Bonnie Day,5,16
Catherine Russell,2,5
Rose Kim,3,13
Russell Armstrong,8,8
William Stewart,1,13
Tammy Stewart,8,6
Rebecca Williams,10,11
Adam Gutierrez,7,26
Elizabeth Elliott,7,9
Barbara Gonzalez,9,17
Robin Cole,8,19
Raymond White,2,5
Irene Hansen,1,3
Jimmy Ford,12,28
Virginia Wilson,5,27
Thomas Dunn,12,14
Fred Graham,1,16
Margaret Turner,9,18
Jose Larson,8,24
Jeremy Lynch,2,15
Annie Miller,8,23
Chris Campbell,4,14
Harry Ortiz,9,20
Nicole Mccoy,11,9
Debra Hart,1,21
Jose Howard,12,25
Joe Scott,11,25
Ernest Gilbert,6,23
Scott Wheeler,4,9
Billy Smith,8,20
Emily Bowman,3,4
Paula Bailey,4,2
Ralph Lawrence,11,26
Carolyn Richards,2,6
Roger Turner,6,16
Wanda Holmes,6,20
Juan Kennedy,11,12
Linda Mills,2,4
Justin Lawson,11,3
Tina Coleman,12,17
Lawrence Harris,11,24
Jesse Perez,5,10
Christina Hill,5,1
Jacqueline Rogers,6,7
Elizabeth Moreno,6,10
Louis Price,7,23
Heather Gomez,5,17
Clarence Jacobs,7,22
Jessica Rice,5,18
Sarah Boyd,1,9
Kimberly Williamson,2,11
Stephanie Howard,12,8
Anna Welch,2,23
Clarence Bowman,11,19
Fred Morgan,4,13
Phillip Ford,1,22
Cheryl Stanley,1,24
Stephanie Sanchez,6,15
Ruby King,1,1
Sara Kim,5,10
Brenda Henry,10,18
Wayne Warren,9,22
Nicholas Richardson,3,27
Sean Clark,8,19
Christine Thompson,11,28
William Flores,6,6
Carol Carter,12,3
Mary Perry,3,13
Carolyn Gomez,4,14
Fred Garrett,12,8
Paul Marshall,11,9
Keith Webb,2,11
Michael Willis,4,24
Carolyn Myers,8,27
Timothy Adams,10,6
Eugene Rivera,7,7
Edward Ruiz,5,17
Victor Lynch,1,3
Virginia Cruz,4,10
